region,collection_week,group,counts,location_counts,percent
North America,2020-10-05,B.1.317,1,291,0.003436426116838488
North America,2020-10-05,B.1.324,5,291,0.01718213058419244
North America,2020-10-05,B.1.361,19,291,0.06529209621993128
North America,2020-10-05,B.1.363,2,291,0.006872852233676976
North America,2020-10-05,B.1.369,21,291,0.07216494845360824
North America,2020-10-05,B.1.370,9,291,0.030927835051546393
North America,2020-10-05,B.1.5,5,291,0.01718213058419244
North America,2020-10-12,B,1,458,0.002183406113537118
North America,2020-10-12,B.1,158,458,0.34497816593886466
North America,2020-10-12,B.1.1,9,458,0.019650655021834062
North America,2020-10-12,B.1.1.110,1,458,0.002183406113537118
North America,2020-10-12,B.1.1.135,4,458,0.008733624454148471
North America,2020-10-12,B.1.1.193,1,458,0.002183406113537118
North America,2020-10-12,B.1.1.207,3,458,0.006550218340611353
North America,2020-10-12,B.1.1.222,1,458,0.002183406113537118
North America,2020-10-12,B.1.1.244,1,458,0.002183406113537118
North America,2020-10-12,B.1.1.29,1,458,0.002183406113537118
North America,2020-10-12,B.1.1.73,3,458,0.006550218340611353
North America,2020-10-12,B.1.110,6,458,0.013100436681222707
North America,2020-10-12,B.1.139,15,458,0.03275109170305677
North America,2020-10-12,B.1.177,1,458,0.002183406113537118
North America,2020-10-12,B.1.189,3,458,0.006550218340611353
North America,2020-10-12,B.1.196,1,458,0.002183406113537118
North America,2020-10-12,B.1.2,108,458,0.23580786026200873
North America,2020-10-12,B.1.216,1,458,0.002183406113537118
North America,2020-10-12,B.1.228,1,458,0.002183406113537118
North America,2020-10-12,B.1.230,2,458,0.004366812227074236
North America,2020-10-12,B.1.232,1,458,0.002183406113537118
North America,2020-10-12,B.1.234,28,458,0.0611353711790393
North America,2020-10-12,B.1.239,2,458,0.004366812227074236
North America,2020-10-12,B.1.240,17,458,0.03711790393013101
North America,2020-10-12,B.1.241,1,458,0.002183406113537118
North America,2020-10-12,B.1.243,16,458,0.034934497816593885
North America,2020-10-12,B.1.280,13,458,0.028384279475982533
North America,2020-10-12,B.1.298,1,458,0.002183406113537118
North America,2020-10-12,B.1.3,16,458,0.034934497816593885
North America,2020-10-12,B.1.305,1,458,0.002183406113537118
North America,2020-10-12,B.1.306,1,458,0.002183406113537118
North America,2020-10-12,B.1.318,3,458,0.006550218340611353
North America,2020-10-12,B.1.324,2,458,0.004366812227074236
North America,2020-10-12,B.1.346,1,458,0.002183406113537118
North America,2020-10-12,B.1.349,1,458,0.002183406113537118
North America,2020-10-12,B.1.361,18,458,0.039301310043668124
North America,2020-10-12,B.1.369,8,458,0.017467248908296942
North America,2020-10-12,B.1.370,4,458,0.008733624454148471
North America,2020-10-12,B.1.5,3,458,0.006550218340611353
North America,2020-10-19,B.1,37,387,0.09560723514211886
North America,2020-10-19,B.1.1,16,387,0.041343669250646
North America,2020-10-19,B.1.1.10,1,387,0.002583979328165375
North America,2020-10-19,B.1.1.128,2,387,0.00516795865633075
North America,2020-10-19,B.1.1.135,12,387,0.031007751937984496
North America,2020-10-19,B.1.1.139,1,387,0.002583979328165375
North America,2020-10-19,B.1.1.186,35,387,0.09043927648578812
North America,2020-10-19,B.1.1.207,1,387,0.002583979328165375
North America,2020-10-19,B.1.1.222,1,387,0.002583979328165375
North America,2020-10-19,B.1.1.244,1,387,0.002583979328165375
North America,2020-10-19,B.1.1.25,1,387,0.002583979328165375
North America,2020-10-19,B.1.1.291,4,387,0.0103359173126615
North America,2020-10-19,B.1.1.304,1,387,0.002583979328165375
North America,2020-10-19,B.1.1.85,1,387,0.002583979328165375
North America,2020-10-19,B.1.110,6,387,0.015503875968992248
North America,2020-10-19,B.1.139,11,387,0.028423772609819122
North America,2020-10-19,B.1.152,1,387,0.002583979328165375
North America,2020-10-19,B.1.189,4,387,0.0103359173126615
North America,2020-10-19,B.1.196,1,387,0.002583979328165375
North America,2020-10-19,B.1.2,128,387,0.330749354005168
North America,2020-10-19,B.1.216,1,387,0.002583979328165375
North America,2020-10-19,B.1.221,1,387,0.002583979328165375
North America,2020-10-19,B.1.230,2,387,0.00516795865633075
North America,2020-10-19,B.1.232,8,387,0.020671834625323
North America,2020-10-19,B.1.234,10,387,0.025839793281653745
North America,2020-10-19,B.1.239,4,387,0.0103359173126615
North America,2020-10-19,B.1.240,6,387,0.015503875968992248
North America,2020-10-19,B.1.243,5,387,0.012919896640826873
North America,2020-10-19,B.1.280,11,387,0.028423772609819122
North America,2020-10-19,B.1.285,2,387,0.00516795865633075
North America,2020-10-19,B.1.298,1,387,0.002583979328165375
North America,2020-10-19,B.1.3,7,387,0.01808785529715762
North America,2020-10-19,B.1.302,2,387,0.00516795865633075
North America,2020-10-19,B.1.305,1,387,0.002583979328165375
North America,2020-10-19,B.1.306,1,387,0.002583979328165375
North America,2020-10-19,B.1.311,1,387,0.002583979328165375
North America,2020-10-19,B.1.318,2,387,0.00516795865633075
North America,2020-10-19,B.1.324,1,387,0.002583979328165375
North America,2020-10-19,B.1.346,2,387,0.00516795865633075
North America,2020-10-19,B.1.349,6,387,0.015503875968992248
North America,2020-10-19,B.1.361,24,387,0.06201550387596899
North America,2020-10-19,B.1.369,13,387,0.03359173126614987
North America,2020-10-19,B.1.370,6,387,0.015503875968992248
North America,2020-10-19,B.1.5,5,387,0.012919896640826873
North America,2020-10-26,B.1,93,662,0.1404833836858006
North America,2020-10-26,B.1.1,44,662,0.06646525679758308
North America,2020-10-26,B.1.1.1,1,662,0.0015105740181268882
North America,2020-10-26,B.1.1.113,1,662,0.0015105740181268882
North America,2020-10-26,B.1.1.130,3,662,0.004531722054380665
North America,2020-10-26,B.1.1.135,5,662,0.0075528700906344415
North America,2020-10-26,B.1.1.139,7,662,0.010574018126888218
North America,2020-10-26,B.1.1.161,1,662,0.0015105740181268882
North America,2020-10-26,B.1.1.171,1,662,0.0015105740181268882
North America,2020-10-26,B.1.1.186,39,662,0.05891238670694864
North America,2020-10-26,B.1.1.190,6,662,0.00906344410876133
North America,2020-10-26,B.1.1.192,1,662,0.0015105740181268882
North America,2020-10-26,B.1.1.207,3,662,0.004531722054380665
North America,2020-10-26,B.1.1.222,1,662,0.0015105740181268882
North America,2020-10-26,B.1.1.244,2,662,0.0030211480362537764
North America,2020-10-26,B.1.1.248,5,662,0.0075528700906344415
North America,2020-10-26,B.1.1.25,1,662,0.0015105740181268882
